word,guideword,type,level,topic,scene_uid,uid
Mr,,noun,A1,,1,1
a,NOT PARTICULAR,determiner,A1,,1,2
café,,noun,A1,Order in a café,1,3
coffee,,noun,A1,Order in a café,1,4
station,TRAINS,noun,A1,Order in a café,1,5
begin,START TO HAPPEN,verb,A1,Greet and introduce yourself,1,6
start,BEGIN,verb,A1,Greet and introduce yourself,1,7
hi,,exclamation,A1,Greet and introduce yourself,1,8
hello,GREETING,exclamation,A1,Greet and introduce yourself,1,9
nationality,,noun,A1,,2,10
behind,BACK,preposition,A1,,2,11
hello,ON PHONE,exclamation,A1,Greet and introduce yourself,2,12
see you later,,phrase,A1,Greet and introduce yourself,2,13
see you,,phrase,A1,Greet and introduce yourself,2,14
see you soon,,phrase,A1,Greet and introduce yourself,2,15
ride,,verb,A1,Talk about trips,2,16
ask,QUESTION,verb,A1,Ask for and give information,2,17
dad,,noun,A1,Describe your family,2,18
sweet,TASTE,adjective,A1,,3,19
slim,THIN,adjective,A1,,3,20
father,,noun,A1,Describe your family,3,21
husband,,noun,A1,Describe your family,3,22
family,RELATED PEOPLE,noun,A1,Describe your family,3,23
mum,,noun,A1,Describe your family,3,24
mother,,noun,A1,Describe your family,3,25
parent,,noun,A1,Describe your family,3,26
sister,,noun,A1,Describe your family,3,27
"half past one/two/three, etc.",,phrase,A1,,4,28
August,,noun,A1,,4,29
wife,,noun,A1,Describe your family,4,30
job,PAID EMPLOYMENT,noun,A1,Talk about work,4,31
work,PLACE,noun,A1,Talk about work,4,32
work,JOB,noun,A1,Talk about work,4,33
work,DO JOB,verb,A1,Talk about work,4,34
write,PRODUCE,verb,A1,Talk about work,4,35
clothes,,,A1,Describe clothes,4,36
Well done!,,phrase,A1,,5,37
well,IN A GOOD WAY,adverb,A1,,5,38
coat,,noun,A1,Describe clothes,5,39
colour,"RED/BLUE, ETC.",noun,A1,Describe clothes,5,40
colour,,verb,A1,Describe clothes,5,41
hair,ON HEAD,noun,A1,Describe clothes,5,42
grey,COLOUR,adjective,A1,Describe clothes,5,43
jacket,,noun,A1,Describe clothes,5,44
jeans,,noun,A1,Describe clothes,5,45
month,PART OF YEAR,noun,A1,,6,46
a lot/lots,,phrase,A1,,6,47
shirt,,noun,A1,Describe clothes,6,48
skirt,,noun,A1,Describe clothes,6,49
trousers,,noun,A1,Describe clothes,6,50
wear,CLOTHES,verb,A1,Describe clothes,6,51
white,COLOUR,adjective,A1,Describe clothes,6,52
afternoon,,noun,A1,Describe a normal day,6,53
day,24 HOURS,noun,A1,Describe a normal day,6,54
a lot,,phrase,A1,,7,55
month,FOUR WEEKS,noun,A1,,7,56
evening,,noun,A1,Describe a normal day,7,57
February,,noun,A1,Describe a normal day,7,58
Monday,,noun,A1,Describe a normal day,7,59
morning,PART OF DAY,noun,A1,Describe a normal day,7,60
Sunday,,noun,A1,Describe a normal day,7,61
week,SEVEN DAYS,noun,A1,Describe a normal day,7,62
week,MONDAY TO FRIDAY,noun,A1,Describe a normal day,7,63
January,,noun,A1,,8,64
March,,noun,A1,,8,65
today,THIS DAY,noun,A1,Describe a normal day,8,66
Tuesday,,noun,A1,Describe a normal day,8,67
Wednesday,,noun,A1,Describe a normal day,8,68
today,THIS DAY,adverb,A1,Describe a normal day,8,69
yesterday,,adverb,A1,Describe a normal day,8,70
"last week/year/Monday, etc.",,phrase,A1,Describe a normal day,8,71
end,FINAL PART,noun,A1,Greet and say goodbye,8,72
May,,noun,A1,,9,73
November,,noun,A1,,9,74
finish,COMPLETE,verb,A1,Greet and say goodbye,9,75
finish,END,verb,A1,Greet and say goodbye,9,76
leave,GO AWAY,verb,A1,Greet and say goodbye,9,77
bye,,exclamation,A1,Greet and say goodbye,9,78
goodbye,,exclamation,A1,Greet and say goodbye,9,79
university,,noun,A1,Talk about your studies,9,80
daughter,,noun,A1,"Describe your family, ask questions",9,81
October,,noun,A1,,10,82
beautiful,PLEASANT,adjective,A1,,10,83
beach,,noun,A1,Describe places,10,84
country,POLITICAL UNIT,noun,A1,Describe places,10,85
place,SOMEWHERE,noun,A1,Describe places,10,86
river,,noun,A1,Describe places,10,87
sea,,noun,A1,Describe places,10,88
village,,noun,A1,Describe places,10,89
near,DISTANCE,preposition,A1,Describe places,10,90
board,CLASSROOM,noun,A1,,11,91
beautiful,ATTRACTIVE,adjective,A1,,11,92
bread,,noun,A1,Talk about food,11,93
butter,,noun,A1,Talk about food,11,94
banana,,noun,A1,Talk about food,11,95
cake,FOOD,noun,A1,Talk about food,11,96
cheese,,noun,A1,Talk about food,11,97
beer,,noun,A1,Talk about food,11,98
eat,HAVE MEAL,verb,A1,Talk about food,11,99
the same,,phrase,A1,,12,100
a,ONE,determiner,A1,,12,101
cook,,verb,A1,Talk about food,12,102
eat,SWALLOW FOOD,verb,A1,Talk about food,12,103
food,,noun,A1,Talk about food,12,104
fruit,FOOD,noun,A1,Talk about food,12,105
ice cream,,noun,A1,Talk about food,12,106
hungry,,adjective,A1,Talk about food,12,107
fat,,adjective,A1,Talk about food,12,108
leg,,noun,A1,,13,109
apple,,noun,A1,,13,110
mouth,FACE,noun,A1,Talk about food,13,111
meat,,noun,A1,Talk about food,13,112
milk,,noun,A1,Talk about food,13,113
rice,,noun,A1,Talk about food,13,114
pizza,,noun,A1,Talk about food,13,115
potato,,noun,A1,Talk about food,13,116
sandwich,,noun,A1,Talk about food,13,117
"there is/there are/there was, etc.",,phrase,A1,,14,118
p.m.,,adverb,A1,,14,119
soup,,noun,A1,Talk about food,14,120
sugar,,noun,A1,Talk about food,14,121
tomato,,noun,A1,Talk about food,14,122
date,PARTICULAR DAY,noun,A1,Ask for and tell the time,14,123
early,BEGINNING,adverb,A1,Ask for and tell the time,14,124
hour,60 MINUTES,noun,A1,Ask for and tell the time,14,125
never,NOT EVER,adverb,A1,Ask for and tell the time,14,126
beard,,noun,A1,,15,127
brother,,noun,A1,,15,128
tonight,,adverb,A1,Ask for and tell the time,15,129
when,,adverb,A1,Ask for and tell the time,15,130
in the morning,,phrase,A1,Ask for and tell the time,15,131
"one/two/three, etc. o'clock",,phrase,A1,Ask for and tell the time,15,132
"see you later/soon/tomorrow, etc.",,phrase,A1,Ask for and tell the time,15,133
bed,FOR SLEEP,noun,A1,Describe your home,15,134
home,,noun,A1,Describe your home,15,135
CD,,noun,A1,,16,136
flat,,noun,A1,,16,137
buy,,verb,A1,Go shopping,16,138
credit card,,noun,A1,Go shopping,16,139
go,MOVE/TRAVEL,verb,A1,Go shopping,16,140
go,DO SOMETHING,verb,A1,Go shopping,16,141
shopping,ACTIVITY,noun,A1,Go shopping,16,142
supermarket,,noun,A1,Go shopping,16,143
go out,LEAVE,phrasal verb,A1,Go shopping,16,144
right,CORRECT,adjective,A1,,17,145
have,EAT/DRINK,verb,A1,,17,146
go shopping,,phrase,A1,Go shopping,17,147
bored,,adjective,A1,Talk about hobbies,17,148
person,HUMAN,noun,A1,Describe people,17,149
people,MORE THAN ONE,noun,A1,Describe people,17,150
computer,,noun,A1,Talk about technology,17,151
language,"ENGLISH/SPANISH/JAPANESE, ETC.",noun,A1,Talk about technology,17,152
mobile phone,,noun,A1,Talk about technology,17,153
boat,FOR TRAVEL ON WATER,noun,A1,,18,154
after,TIME/EVENT,preposition,A1,,18,155
other,ADDITIONAL,determiner,A1,Chat with others,18,156
some,UNKNOWN AMOUNT,determiner,A1,Chat with others,18,157
some,UNKNOWN AMOUNT,pronoun,A1,Chat with others,18,158
some,NOT ALL,pronoun,A1,Chat with others,18,159
bag,,noun,A1,Shop for clothes,18,160
shop,,noun,A1,Shop for clothes,18,161
T-shirt,,noun,A1,Shop for clothes,18,162
an,,determiner,A1,,19,163
glasses,,noun,A1,,19,164
cold,TEMPERATURE,adjective,A1,Describe the weather,19,165
rain,,noun,A1,Describe the weather,19,166
snow,,noun,A1,Describe the weather,19,167
summer,,noun,A1,Describe the weather,19,168
sun,,noun,A1,Describe the weather,19,169
weather,"WIND, RAIN, ETC.",noun,A1,Describe the weather,19,170
wind,,noun,A1,Describe the weather,19,171
have,BE ILL,verb,A1,,20,172
head,BODY,noun,A1,,20,173
winter,,noun,A1,Describe the weather,20,174
warm,TEMPERATURE,adjective,A1,Describe the weather,20,175
it rains/it is raining,,phrase,A1,Describe the weather,20,176
city,,noun,A1,Describe a city,20,177
town,PLACE PEOPLE LIVE/WORK,noun,A1,Describe a city,20,178
bedroom,,noun,A1,Describe your house,20,179
door,,noun,A1,Describe your house,20,180
of course,,phrase,A1,,21,181
hand,BODY PART,noun,A1,,21,182
house,,noun,A1,Describe your house,21,183
living room,,noun,A1,Describe your house,21,184
