guideword,grammar,example,level,type,scene_uid,uid
Je m'appelle / s'appeler,utiliser un pronom réfléchi avec le verbe 's'appeler' pour dire son nom,"Je m'appelle Aurélie.
Tu t'appelles Théo.
Vous vous appelez Monsieur Durand.",A1,Pronouns,1,1
forme informelle vs formelle,choisir entre 'tu' (informel) et 'vous' (formel) pour s'adresser à quelqu’un,"Tu t'appelles Théo.
Vous vous appelez Monsieur Durand.",A1,Pronouns,1,2
conjugaison de s'appeler,conjuguer le verbe pronominal 's'appeler' au présent selon le pronom,"je m'appelle
tu t'appelles
vous vous appelez",A1,Pronouns,2,3
faux ami : je me fais appeler,exprimer un choix de nom ou un surnom avec 'se faire appeler',Je me fais appeler Jack.,A1,Pronouns,2,4
tu / vous,"utiliser les pronoms sujets 'tu' et 'vous' pour exprimer les trois formes de 'vous' en français : informel singulier, formel singulier, et pluriel","Tu as faim ?
Vous avez faim ?
Vous avez faim ?",A1,Pronouns,3,5
élision de 'je',utiliser la forme élidée 'j'' devant un verbe commençant par une voyelle ou un h muet,"J'habite à Londres.
J'ai vingt ans.",A1,Verbs Tenses & Conjugation,3,6
conjugaison présent,conjuguer les verbes du premier groupe et verbes irréguliers comme 'avoir' à la première personne du singulier,"Je suis grand.
J'ai vingt ans.",A1,Verbs Tenses & Conjugation,4,7
habiter à + ville,pouvoir exprimer où l'on vit en utilisant la préposition 'à' avant le nom d'une ville,"J'habite à Paris.
J'habite à Londres.
J'habite à Atlanta.",A1,"Idioms, Idiomatic Usage, and Structures",4,8
habiter + ville (sans préposition),pouvoir dire où l'on vit sans utiliser de préposition avec certains noms de villes,"J'habite Paris.
J'habite Orléans.",A1,"Idioms, Idiomatic Usage, and Structures",5,9
élision de 'je',savoir utiliser la forme élidée 'j'' devant un mot commençant par une voyelle ou un h muet,"J'habite à Paris.
J'habite Londres.",A1,"Idioms, Idiomatic Usage, and Structures",5,10
formuler des questions informelles,pouvoir poser une question à l'oral de façon informelle en inversant le pronom et le verbe ou en plaçant 'où' au début,"Où habites-tu ?
Tu habites où ?",A1,"Idioms, Idiomatic Usage, and Structures",6,11
formuler des questions formelles/pluriel,pouvoir poser une question de manière formelle ou adressée à plusieurs personnes avec l'inversion sujet-verbe,"Où habitez-vous ?
Vous habitez où ?",A1,"Idioms, Idiomatic Usage, and Structures",6,12
venir de + ville,utiliser l'expression 'venir de' pour indiquer sa ville d'origine,"Je viens de Londres.
Je viens de Paris.
Je viens de Hong Kong.",A1,"Idioms, Idiomatic Usage, and Structures",7,13
contraction de + où,former la contraction 'd'où' à partir de 'de + où' pour poser des questions sur l'origine,"D'où viens-tu ?
D'où venez-vous ?",A1,"Idioms, Idiomatic Usage, and Structures",7,14
élision de 'de' devant voyelle,remplacer 'de' par 'd'' devant un nom de ville commençant par une voyelle,"Je viens d'Édimbourg.
Je viens d'Avignon.
Je viens d'Omaha.",A1,"Idioms, Idiomatic Usage, and Structures",8,15
formes informelles et formelles,poser des questions sur l'origine avec des formes adaptées au niveau de politesse,"Tu viens d'où ?
Vous venez d'où ?",A1,"Idioms, Idiomatic Usage, and Structures",8,16
être au présent,"Conjuguer les verbes être aux formes je, tu, vous au présent de l'indicatif.","Je suis grand.
Tu es belle.
Vous êtes Mme Lupin.",A1,Verbs Tenses & Conjugation,9,17
tu vs vous,"Utiliser correctement les pronoms sujets tu (informel, singulier) et vous (formel ou pluriel).","Tu es qui ?
Vous êtes qui ?",A1,Verbs Tenses & Conjugation,9,18
adjectif féminin,Je peux transformer un adjectif masculin en féminin en ajoutant -e à la fin.,"un petit chat et une petite souris
il est français et elle est française
le joli garçon et la jolie fille",A1,Adjectives & Adverbs,10,19
accord adjectif-nom,Je peux faire accorder l'adjectif avec le genre du nom qu'il décrit.,"un melon vert et une pomme verte
le joli garçon est avec la jolie fille",A1,Adjectives & Adverbs,10,20
adjectif de nationalité,utiliser l'adjectif de nationalité au masculin ou au féminin selon le genre de la personne,"Je suis français.
Je suis française.
Je suis canadien.
Je suis canadienne.",A1,Adjectives & Adverbs,11,21
formation du féminin -ien,former le féminin des adjectifs de nationalité se terminant par -ien en ajoutant -ne,"italien → italienne
canadien → canadienne
indien → indienne
australien → australienne",A1,Adjectives & Adverbs,11,22
majuscule en fonction du rôle,"ne pas mettre de majuscule quand la nationalité est utilisée comme adjectif, mais en mettre une quand elle est utilisée comme nom","Ma petite amie est canadienne.
Je connais un Canadien qui vit de l'autre côté de la rue.",A1,Adjectives & Adverbs,12,23
