word,type,level,guideword,topic,scene_uid,uid
abricot,nom,A1,,,1,1
adha,,A1,,,1,2
alexandre,nom,A1,,Commander dans un café,1,3
arthurien,adjectif,A1,,Commander dans un café,1,4
basque,adjectif,A1,,Commander dans un café,1,5
bateau - mouche,nom,A1,,Commander dans un café,1,6
bordelais,nom,A1,,Commander dans un café,1,7
bordelais,adjectif,A1,,Commander dans un café,1,8
adorable,adjectif,A1,,,2,9
agnès,nom,A1,,,2,10
cafe,nom,A1,,Commander dans un café,2,11
châtaigne,nom,A1,,Commander dans un café,2,12
civière,nom,A1,,Commander dans un café,2,13
dans le cours de,préposition,A1,,Commander dans un café,2,14
dauphinois,adjectif,A1,,Commander dans un café,2,15
dir,nom,A1,,Commander dans un café,2,16
ah,adverbe,A1,,,3,17
ah non,adverbe,A1,,,3,18
fjord,nom,A1,,Commander dans un café,3,19
guirlande,nom,A1,,Commander dans un café,3,20
hugo,,A1,,Commander dans un café,3,21
monsieur,nom,A1,,Commander dans un café,3,22
montagne,nom,A1,,Commander dans un café,3,23
montagneux,adjectif,A1,,Commander dans un café,3,24
alex,nom,A1,,,4,25
amuse,nom,A1,,,4,26
polonais,adjectif,A1,,Commander dans un café,4,27
ronde,nom,A1,,Commander dans un café,4,28
rue,nom,A1,,Commander dans un café,4,29
station,nom,A1,,Commander dans un café,4,30
traîneau,nom,A1,,Commander dans un café,4,31
téléphérique,nom,A1,,Commander dans un café,4,32
antillais,nom,A1,,,5,33
apl,nom,A1,,,5,34
janv,adverbe,A1,,Saluer et se présenter,5,35
janv,nom,A1,,Saluer et se présenter,5,36
jeudi,nom,A1,,Saluer et se présenter,5,37
salutation,nom,A1,,Saluer et se présenter,5,38
suivre,verbe,A1,,Saluer et se présenter,5,39
tu vas tout droit,adverbe,A1,,Décrire des vêtements,5,40
appeler,verbe,A1,,,6,41
appeller,verbe,A1,,,6,42
vide,adjectif,A1,,Décrire des vêtements,6,43
journée,nom,A1,,Décrire une journée ordinaire,6,44
nocturne,adjectif,A1,,Décrire une journée ordinaire,6,45
seigneurial,adjectif,A1,,Décrire une journée ordinaire,6,46
camion,nom,A1,,Saluer et dire au revoir,6,47
farine,nom,A1,,Saluer et dire au revoir,6,48
aquarium,nom,A1,,,7,49
arrogant,nom,A1,,,7,50
il y avoir,verbe,A1,,Saluer et dire au revoir,7,51
jouer,verbe,A1,,Saluer et dire au revoir,7,52
revoir,verbe,A1,,Saluer et dire au revoir,7,53
saluer,verbe,A1,,Saluer et dire au revoir,7,54
salut,nom,A1,,Saluer et dire au revoir,7,55
salut,adverbe,A1,,Saluer et dire au revoir,7,56
aspirine,nom,A1,,,8,57
astro,adjectif,A1,,,8,58
taguer,verbe,A1,,Saluer et dire au revoir,8,59
h,adverbe,A1,,Demander et dire l'heure,8,60
h,nom,A1,,Demander et dire l'heure,8,61
h.,adverbe,A1,,Demander et dire l'heure,8,62
heure,nom,A1,,Demander et dire l'heure,8,63
heures,nom,A1,,Demander et dire l'heure,8,64
attention,nom,A1,,,9,65
autodidacte,adjectif,A1,,,9,66
tout à l' heure,adverbe,A1,,Demander et dire l'heure,9,67
à l’ étranger,adverbe,A1,,Demander et dire l'heure,9,68
à tout à l’ heure,adverbe,A1,,Demander et dire l'heure,9,69
aussi,adverbe,A1,,Décrire sa famille,9,70
corriger,verbe,A1,,Décrire sa famille,9,71
craie,nom,A1,,Décrire sa famille,9,72
